Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||4|a|..2|(0,0,z)|(1/2,0,z)||
B 2 c m|193|||||||
||8|d|1|(x,y,z)|(x,-y,-z)|(x,y,-z+1/2)|(x,-y,z+1/2)
||4|c|.m.|(x,y,1/4)|(x,-y,3/4)||
||4|b|..2|(x,1/2,0)|(x,1/2,1/2)||
||4|a|..2|(x,0,0)|(x,0,1/2)||
C 2 m b|194|||||||
||8|d|1|(x,y,z)|(x,-y,-z)|(x,-y+1/2,z)|(x,y+1/2,-z)
||4|c|.m.|(x,1/4,z)|(x,3/4,-z)||
||4|b|..2|(x,0,1/2)|(x,1/2,1/2)||
||4|a|..2|(x,0,0)|(x,1/2,0)||
C m 2 a|195|||||||
||8|d|1|(x,y,z)|(-x,y,-z)|(-x+1/2,y,z)|(x+1/2,y,-z)
||4|c|.m.|(1/4,y,z)|(3/4,y,-z)||
||4|b|..2|(0,y,1/2)|(1/2,y,1/2)||
||4|a|..2|(0,y,0)|(1/2,y,0)||
A c 2 m|196|||||||
||8|d|1|(x,y,z)|(-x,y,-z)|(x,y,-z+1/2)|(-x,y,z+1/2)
||4|c|.m.|(x,y,1/4)|(-x,y,3/4)||
||4|b|..2|(1/2,y,0)|(1/2,y,1/2)||
||4|a|..2|(0,y,0)|(0,y,1/2)||
A m a 2|197|||||||
||8|c|1|(x,y,z)|(-x,-y,z)|(x+1/2,-y,z)|(-x+1/2,y,z)
